Fecha,Anio,MesNumero,Mes,Canal,Subcanal,Ventas,VentasMesAnterior,VentasAnioAnterior,Objetivo,ImagenCanal
2024-11-01,2024,11,Noviembre,HOTEL,Hotel 3*,32962,43493,,31314,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2024-12-01,2024,12,Diciembre,HOTEL,Hotel 3*,41510,32962,,39434,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-01-01,2025,1,Enero,HOTEL,Hotel 3*,32611,41510,33065,35380,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-02-01,2025,2,Febrero,HOTEL,Hotel 3*,37713,32611,30320,32442,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-03-01,2025,3,Marzo,HOTEL,Hotel 3*,41087,37713,41597,44509,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-04-01,2025,4,Abril,HOTEL,Hotel 3*,50597,41087,43923,46998,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-05-01,2025,5,Mayo,HOTEL,Hotel 3*,51648,50597,52322,55985,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-06-01,2025,6,Junio,HOTEL,Hotel 3*,55374,51648,56542,60500,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-07-01,2025,7,Julio,HOTEL,Hotel 3*,70170,55374,55789,59694,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-08-01,2025,8,Agosto,HOTEL,Hotel 3*,67881,70170,69190,74033,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-09-01,2025,9,Septiembre,HOTEL,Hotel 3*,57430,67881,46909,50193,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-10-01,2025,10,Octubre,HOTEL,Hotel 3*,42641,57430,43493,46538,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-11-01,2025,11,Noviembre,HOTEL,Hotel 3*,41072,42641,32962,35269,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2025-12-01,2025,12,Diciembre,HOTEL,Hotel 3*,40765,41072,41510,44416,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2026-01-01,2026,1,Enero,HOTEL,Hotel 3*,34079,40765,32611,34894,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2026-02-01,2026,2,Febrero,HOTEL,Hotel 3*,32574,34079,37713,40353,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2026-03-01,2026,3,Marzo,HOTEL,Hotel 3*,42961,32574,41087,43963,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2026-04-01,2026,4,Abril,HOTEL,Hotel 3*,44875,42961,50597,54139,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2026-05-01,2026,5,Mayo,HOTEL,Hotel 3*,55373,44875,51648,55263,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2026-06-01,2026,6,Junio,HOTEL,Hotel 3*,59327,55373,55374,59250,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2026-07-01,2026,7,Julio,HOTEL,Hotel 3*,73395,59327,70170,75082,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2026-08-01,2026,8,Agosto,HOTEL,Hotel 3*,70792,73395,67881,72633,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
